商品名,売上金額,売上数量,販売日数,取扱店舗数,構成比,累積構成比,ABCランク,1日平均売上,平均単価,フェイスくくり大分類
ポケカ拡張インフェルノ,102664.0,626.0,4,3,0.1234707871093102,65.89994327372185,A,25666.0,164.0,250:文具・玩具・趣味雑貨
Ｗ・Ｃレッド８・ＢＯＸ,102128.0,208.0,73,3,0.12282615664594825,66.02276943036779,A,1399.0,491.0,290:たばこ
◎生コッペパン（ダブルピ,101250.0,750.0,91,2,0.1217702134615606,66.14453964382935,A,1113.0,135.0,145:パン
ケントエス・スパーク１,100100.0,220.0,71,3,0.12038714437039226,66.26492678819974,A,1410.0,455.0,290:たばこ
◎オレンジ香アールグレイ,99990.0,909.0,62,1,0.12025485080515007,66.3851816390049,A,1613.0,110.0,215:ドライ飲料
三次元マスクふつう,99750.0,285.0,83,1,0.1199662102991671,66.50514784930407,A,1202.0,350.0,240:紙・衛生用品
今治ＴＨ千鳥,99600.0,166.0,77,3,0.11978580998292776,66.624933659287,A,1294.0,600.0,245:衣料品
ＭＶコールドＭプルーム,99085.0,215.0,65,2,0.11916643556383934,66.74410009485084,A,1524.0,461.0,290:たばこ
◎ベーコン＆チーズデニッ,99066.0,627.0,37,3,0.11914358485711567,66.86324367970795,A,2677.0,158.0,145:パン
アクエリアス　９５０,97608.0,588.0,49,1,0.1173900937832692,66.98063377349122,A,1992.0,166.0,215:ドライ飲料
